Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
0,CISI-PD,1,code_cisi_pd_motor,"CISI-PD motor signs = {0:Normal, 1:Very Mild, 2:Mild, 3:Mild to moderate, 4:Moderate, 5:Severe, 6:Very severe}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",
0,CISI-PD,2,code_cisi_pd_disability,"CISI-PD disability = {0:Normal, 1:Minimal slowness and/or clumsiness, 2:Slowness and/or clumsiness; no limitations, 3: Limitation for demanding activities; does not need help for basic ADL, 4: Limitation to perform basic ADL; help is required for some basic ADL, 5:Great limitation to perform basic ADL; help is requred for most or all basic ADL, 6:Severly disabled; helpless; complete assistance needed}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",
0,CISI-PD,3,code_cisi_pd_motor_complications,"CISI-PD motor complications (dyskinesia and fluctuations) = {0:Not at all, 1:Very Mild, 2:Mild, 3:Mild to moderate, 4:Moderate, 5:Severe, 6:Very severe}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",
0,CISI-PD,4,code_cisi_pd_cognitive,"CISI-PD cognitive status = {0:Normal, 1:Slowness and/or minimal cognitive problems, 2:Mild cognitive problems; no limitations, 3:Mild to moderate cognitive problems; does not need help for basic ADL, 4:Moderate cognitive problems; help is require for some basic ADL, 5:Severe cognitive problems; help is required for most or all basic ADL, 6:Severely disabled; helpless; complete assistance needed}",integer,nullable,"y.isin([0, 1, 2, 3, 4, 5, 6])",
1,Medical History,1,hx_hypertension,Have you ever been diagnosed with hypertension/high blood pressure?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,2,hx_hyperlipidemia,Have you ever been diagnosed with hyperlipidemia/high cholesterol?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,3,hx_diabetes,Have you ever been diagnosed with diabetes?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,4,hx_myocardinal_infarction,Have you ever been diagnosed with myocardial infarction/coronary thrombosis/heart attack?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,5,hx_congestive_heart_failure,Have you ever been diagnosed with congestive heart failure?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,6,hx_heart_disease,"Have you ever been diagnosed with heart disease? (MI, Angina, Af, AF)",string,nullable,"[""Yes"", ""No""]",
1,Medical History,7,hx_dementia_mci,Have you ever been diagnosed with dementia or MCI?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,8,hx_stroke,Have you ever been diagnosed with a stroke/TIA?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,9,hx_melanoma,Have you ever been diagnosed with a melanoma?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,10,hx_cancer,Have you ever been diagnosed with cancer (other than melanoma) -> any cancer?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,,hx_crohn,Have you ever been diagnosed with Crohn's disease?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,11,hx_autoimmune_disease,"Have you ever been diagnosed with an autoimmune disease? (Includes rheumatoid arthritis, lupus)",string,nullable,"[""Yes"", ""No""]",
1,Medical History,12,hx_depression,Have you ever been diagnosed with depression?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,13,hx_schizophrenia,Have you ever been diagnosed with schizophrenia?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,14,hx_bipolar,Have you ever been diagnosed with bipolar disorder?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,15,hx_restless_legs_syndrome,Have you ever been diagnosed with restless legs syndrome?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,16,hx_head_trauma,Have you ever had a head injury or concussion?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,17,hx_anxiety,Have you ever been diagnosed with an anxiety disorder?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,18,hx_constipation,Have you ever been diagnosed with constipation?,string,nullable,"[""Yes"", ""No""]",
1,Medical History,19,hx_sleep,Have you ever been diagnosed with sleeping problems?,string,nullable,"[""Yes"", ""No""]",
1,Lifestyle,1,smoking_status,Smoking status (Can ignore non-substantial smoking),string,nullable,"[""Current smoker"", ""Former smoker"", ""Never"", ""Unknown""]",
1,Lifestyle,2,smoking_ever_smoker_yes,Smoking status 2 (Can ignore non-substantial smoking) Ever/Never distinction (Ever=1),integer,nullable,"y.isin([0,1])",
1,Lifestyle,3,smoking_years,Smoking years (Can ignore non-substantial smoking),numeric,nullable,(y>=0) & (y<=120),
1,Lifestyle,4,smoking_pack_years,Smoking pack (20) x years,numeric,nullable,(y>=0) & (y<=10000),
0,Clinical diagnosis of complications,1,clinical_dx_constipation,Does the participant have constipation?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,2,clinical_dx_hyposmia,Does the participant have hyposmia?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,3,clinical_dx_depression,Does the participant have depression?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,4,clinical_dx_mild_cognitive_impairment,Does the participant have mild cognitive impairment?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,5,clinical_dx_dementia,Does the participant have dementia?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,6,clinical_dx_insomnia,Does the participant have insomnia?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,7,clinical_dx_daytime_sleep,Does the participant have daytime sleepiness?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,8,clinical_dx_dyskinesia,Does the participant have dyskinesia?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Clinical diagnosis of complications,8,clinical_dx_wearing_off,Does the participant have wearing off?,string,nullable,"[""Yes"", ""No"",""Unknown""]",
0,Current Medication Status,1,medication_data_availability,Is the medication data available? Yes or no for the dataset,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,2,levodopa_mg_daily,Levodopa Dosage per day,numeric,nullable,(y>=0) & (y<=10000),
0,Current Medication Status,3,ledd_daily,Levodopa Equivalent Dosage (LEDD) per day (including all PD meds),numeric,nullable,(y>=0) & (y<=10000),
0,Current Medication Status,5,levodopa_use,Usage of levodopa,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,6,dopamine_agonist_use,Usage of dopamine agonist,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,7,anticholinergics_use,Usage of anticholinergics,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,8,brain_surgery,Usage of DBS/Brain surgery,string,nullable,"[""Yes"", ""No""]",
0,Current Medication Status,9,cholin_esterase_inhibitor_use,Usage of cholinesterase Inhibitors,string,nullable,"[""Yes"", ""No""]",
